Title2
Total Miscellaneous Overnight Stays for Apr 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"59,583","66,028","6,445","168,798","166,166","-2,632"
